Probeset	Gene	Type	SP4plus 1	SP4plus 2	SP8plus 1	SP8plus 2
37152_at	PPARD	other	318.17	282.76	430.56	203.44
37170_at	BMP2K	other	124.07	149.1	132.71	93.423
37201_at	ITIH4	other	229.49	206.69	284.58	140.98
37226_at	BNIP1	other	215.26	214.67	259.15	152.43
37232_at	KIAA0586	other	196.12	193.65	254.77	137.53
37254_at	ZNF133	other	201.62	206.66	225.32	139.16
37278_at	TAZ	other	446.21	458.79	624.64	291.64
37384_at	PPM1F	other	420.56	369.24	539.49	252.69
37408_at	MRC2	other	695.34	537.99	1071.8	370.73
37424_at	CCHCR1	other	341.87	269.11	409.59	214.43
37425_g_at	CCHCR1	other	242.26	209.62	309.71	146.85
37433_at	PIAS2	other	134.8	114.68	153.83	83.288
37462_i_at	SF3A2	other	337.76	349.07	451.35	228.48
37512_at	HSD17B6	other	116.71	94.545	120.54	74.673
37547_at	BBS9	other	126.88	104.52	135.21	76.913
37549_g_at	BBS9	other	208.27	199.76	263.02	143.35
37566_at	KIAA1045	other	148.33	124.51	167.52	95.326
37577_at	ARHGAP19	other	189.9	192.66	238.64	130.52
37586_at	ZNF142	other	214.79	194.94	288.38	141.58
37590_g_at	AK055981 /// RP11-617F23.1	other	304.58	290.84	425.45	170.12
37652_at	CABIN1	other	600.15	590.17	1266.7	547.62
37793_r_at	RAD51D	other	201.32	144.45	217.14	104.09
37796_at	LRCH4 /// SAP25	other	828.81	767.66	1357.7	541.45
37802_r_at	FAM63B	other	134.29	111.72	161.78	90.989
37831_at	SIPA1L3	other	317.67	273.73	352.5	193.9
37860_at	ZNF337	other	410.5	371.1	570.52	259.5
37872_at	JRK	other	342.95	250.11	441.52	171.62
37892_at	COL11A1	other	129.3	104.04	149.71	82.041
37943_at	ZFYVE26	other	215.63	202.97	261.59	147.26
37950_at	PREP	other	219.24	230.06	308.77	153.56
37953_s_at	ASIC1	other	247.99	223.5	329.45	178.25
37965_at	PARVB	other	177.47	155.28	212.21	106.4
37966_at	PARVB	other	183.05	150.19	210.64	108.91
37986_at	EPOR	other	194.97	175.3	221.91	120.26
37996_s_at	DMPK	other	218.67	175.66	252.48	115.6
38037_at	HBEGF	immunity	208.42	191.39	258.03	134.28
38043_at	FAM3A	other	321.71	319.77	495.25	233.06
38069_at	CLCN7	other	451.11	429.7	703.95	289.1
38149_at	ARHGAP25	other	447.56	503.67	690.7	340.02
38157_at	DXO	other	367.94	343.77	459.65	246.19
38158_at	ESPL1	other	278.46	246.6	303.86	152.91
38241_at	BTN3A3	immunity	266.72	313.2	514.58	269.56
38269_at	PRKD2	immunity	1143.3	1185.8	1787.3	701.91
38290_at	RGS14	other	438.68	444.62	588.75	334.92
38340_at	HIP1R	other	526.14	610.01	998.41	388.65
38398_at	MADD	other	410.9	453.91	626.41	297.65
38447_at	ADRBK1	immunity	574.01	544.31	776.08	371.02
38487_at	STAB1	other	274.66	241.84	336.04	164.5
38521_at	CD22	immunity	314.13	268.58	362.5	188.03
38671_at	PLXND1	other	467.94	385.08	440.24	177.17
38691_s_at	SFTPC	other	282.74	205.79	338.86	147.16
38703_at	DNPEP	other	409.94	422.6	607.07	272.31
38707_r_at	E2F4	other	650.26	619.55	891.86	392.89
38710_at	LOC101927673 /// OTUB1	immunity	748.51	735.83	1137.7	513.59
38766_at	LOC100862671 /// SRCAP	other	323.95	299.5	432.57	208.31
38892_at	GLTSCR1L	other	248.36	314.53	337.66	175.54
38918_at	SOX13	other	163.46	130.14	187.44	96.236
38964_r_at	WAS	immunity	1338.5	1106.5	1802.4	764.11
39248_at	AQP3	immunity	938.4	1092.8	2271	945.3
39249_at	AQP3	immunity	399.45	348.67	711.48	262.51
39313_at	WNK1	other	141.62	109.9	167.15	86.17
39318_at	TCL1A	other	166.05	148.42	195.37	111.97
39402_at	IL1B	immunity	219.94	172.34	232.99	119.3
39548_at	NPAS2	other	156.86	127.36	170.26	90.832
39549_at	NPAS2	other	142.8	136.53	156.47	88.744
39582_at	CYLD	immunity	478.09	671.22	598.58	289.54
39650_s_at	PCNXL2	other	338.22	266.59	366.52	154.69
396_f_at	EPOR	other	650.39	463.21	738.09	317.77
39705_at	SIN3B	other	348.82	286.19	431.7	195.04
39729_at	PRDX2	other	408.63	546.36	679.15	349.28
39763_at	HPX	immunity	277.06	257.54	340.49	169
